,Hotel_Name,Location,Destination,Facilities,Original Price,Current Price,Taxes and Charges,Discount,Price per Day,Hotel_Rating,Rating_Category,Preferred_Hotel,Reviews_available,Free_cancellation,pay at the property,Breakfast included?
364,Daffodils Luxury Airport Suites,Angamali,Kerala,One-Bedroom ApartmentEntire apartment • 1 bedroom • 1 living room • 1 bathroom • 45 m²1 large double bedNo prepayment needed – ,0.0,83300.0,9996.0,0.0,3332.0,9.2,Superb,No,116.0,YES,YES,YES
365,Abad Whispering Palms,Kumarakom,Kerala,Cottage with Garden View1 double bed,0.0,196952.0,23634.0,0.0,7878.07,8.0,Very Good,No,809.0,YES,NO,YES
366,Agraharam Resorts,Thirunelli,Kerala,VillaEntire villa • 1 bedroom • 1 bathroom • 30 m²2 single beds,0.0,99100.0,11892.0,0.0,3964.0,8.6,Fabulous,No,86.0,YES,NO,YES
367,The Mountain Courtyard Thekkady,Thekkady,Kerala,Tamarind 1 large double bed,0.0,196000.0,23520.0,0.0,7840.0,8.7,Fabulous,No,458.0,YES,NO,NO
368,Olives The Boutique Resort,Kalpetta,Kerala,Premium Double Room1 extra-large double bed,0.0,187600.0,22512.0,0.0,7504.0,8.4,Very Good,No,23.0,YES,NO,YES
369,WithInn Hotel - Kannur Airport,Kannur,Kerala,Standard Double or Twin Room1 extra-large double bedNo prepayment needed – ,0.0,78372.0,9405.0,0.0,3134.89,8.6,Fabulous,No,148.0,YES,YES,NO
370,"Au Revoir Wellness Resort, Malampuzha",Palakkad,Kerala,Standard Double Room1 large double bed,181755.0,159944.0,19193.0,21811.0,6397.75,9.0,Superb,No,26.0,YES,NO,NO
371,Le Villagio Resort & Domes,Sultan Bathery,Kerala,"One-Bedroom ApartmentEntire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 65 m²2 beds (1 sofa bed, 1 large double)",0.0,106704.0,12804.0,0.0,4268.14,7.9,Good,No,282.0,YES,NO,YES
372,Vismaya by Moksha Stays,Turavūr,Kerala,"Two-Bedroom VillaEntire villa • 2 bedrooms • 1 living room • 2 bathrooms • 200 m²3 beds (2 singles, 1 double)",0.0,606060.0,109091.0,0.0,25541.11,0.0,Not Available,No,13.0,YES,NO,YES
373,Vibe Munnar Resort & Spa,Munnar,Kerala,Hamilton Room with Balcony1 large double bed,487900.0,390320.0,70258.0,97580.0,16449.21,8.4,Very Good,No,200.0,NO,NO,NO
